Cod.Programa,Nombre Programa,Asignatura,Nombre Asignatura,Cod.Asig. Prerreq.,Nombre Asignatura Prerreq.
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710005.0,MECANICA DE FLUIDOS,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710006.0,TERMODINAMICA,11010003.0,QUIMICA I
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710006.0,TERMODINAMICA,11310004.0,CALCULO 2
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710006.0,TERMODINAMICA,73210065.0,FISICA 2
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710007.0,ANALISIS DE SISTEMAS DE POTENCIA,32710002.0,ELEMENTOS DE SISTEMAS ELECTRICOS
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710007.0,ANALISIS DE SISTEMAS DE POTENCIA,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710008.0,CONTROL,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710009.0,TRANSFERENCIA DE CALOR,32710005.0,MECANICA DE FLUIDOS
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710009.0,TRANSFERENCIA DE CALOR,32710006.0,TERMODINAMICA
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710010.0,REDES DE TRANSPORTE Y DISTRIBUCION,32710007.0,ANALISIS DE SISTEMAS DE POTENCIA
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,32710011.0,SISTEMAS DE CONVERSION DE ENERGIA,32710009.0,TRANSFERENCIA DE CALOR
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,65510133.0,MATEMATICAS Y PLANEACION FINANCIERA,15210003.0,CONTABILIDAD FINANCIERA
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,65510133.0,MATEMATICAS Y PLANEACION FINANCIERA,15210003.0,CONTABILIDAD FINANCIERA
200D,AAA_ELECTIVAS GENERALES (Emprendimiento/Vicerrectoria/Rectoria/Plurales/..),73210023.0,MODELOS LOGICOS - FILOSOFICOS DEL LENGUAJE NATURAL,18610033.0,LOGICA
200D,AAA_ELECTIVAS GENERALES (Emprendimiento/Vicerrectoria/Rectoria/Plurales/..),73210051.0,INTRODUCCION AL DESARROLLO DE APLICACIONES WEB,73210050.0,PROGRAMACION PARA NO PROGRAMADORES
200D,AAA_ELECTIVAS GENERALES (Emprendimiento/Vicerrectoria/Rectoria/Plurales/..),73210052.0,ESTADISTICA ESPACIAL,73210007.0,ESTADISTICA INFERENCIAL
200D,AAA_ELECTIVAS GENERALES (Emprendimiento/Vicerrectoria/Rectoria/Plurales/..),73210052.0,ESTADISTICA ESPACIAL,73210011.0,ESTADISTICA
200D,AAA_ELECTIVAS GENERALES (Emprendimiento/Vicerrectoria/Rectoria/Plurales/..),73210052.0,ESTADISTICA ESPACIAL,73210036.0,ESTADISTICA INFERENCIAL
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,73210063.0,INTRODUCCION A LAS BASES DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,73210063.0,INTRODUCCION A LAS BASES DE DATOS,73210024.0,PROGRAMACION DE COMPUTADORES
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,73210063.0,INTRODUCCION A LAS BASES DE DATOS,73210037.0,INTRODUCCION A LA PROGRAMACION DE COMPUTADORES
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,73210063.0,INTRODUCCION A LAS BASES DE DATOS,73210050.0,PROGRAMACION PARA NO PROGRAMADORES
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,73210064.0,FISICA 1,11310044.0,PRECALCULO
IIN1,INGENIERIA INDUSTRIAL,73210064.0,FISICA 1,11310044.0,PRECALCULO
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,73210064.0,FISICA 1,11310044.0,PRECALCULO
IET1,INGENIERIA ELECTRONICA,73210064.0,FISICA 1,11310044.0,PRECALCULO
IET1,INGENIERIA ELECTRONICA,73210065.0,FISICA 2,73210064.0,FISICA 1
IIN1,INGENIERIA INDUSTRIAL,73210065.0,FISICA 2,73210064.0,FISICA 1
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,73210065.0,FISICA 2,73210064.0,FISICA 1
IET1,INGENIERIA ELECTRONICA,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,11310004.0,CALCULO 2
IIN1,INGENIERIA INDUSTRIAL,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,11310004.0,CALCULO 2
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,11310004.0,CALCULO 2
IET1,INGENIERIA ELECTRONICA,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,11310030.0,ALGEBRA LINEAL
IIN1,INGENIERIA INDUSTRIAL,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,11310030.0,ALGEBRA LINEAL
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,11310030.0,ALGEBRA LINEAL
IIN1,INGENIERIA INDUSTRIAL,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,73210064.0,FISICA 1
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,73210064.0,FISICA 1
IET1,INGENIERIA ELECTRONICA,73210066.0,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,73210064.0,FISICA 1
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,73210067.0,FISICA 3,73210065.0,FISICA 2
IET1,INGENIERIA ELECTRONICA,73210067.0,FISICA 3,73210065.0,FISICA 2
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1,11310028.0,SEMINARIO DE GRADO
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1,11310028.0,SEMINARIO DE GRADO
IET1,INGENIERIA ELECTRONICA,89510003.0,OPCION DE GRADO EN EMPRENDIMIENTO ICT 1,11310028.0,SEMINARIO DE GRADO
