Asignatura,Periodo,Facultad,Nombre Asignatura,Matriculados 2024-1s
11310079,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",OPERATING SYSTEMS,24
11320001,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",LOGICA PARA CIENCIAS DE LA COMPUTACION,26
11320002,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ARQUITECTURA DEL COMPUTADOR,11
11320003,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",CALCULO 3,18
11320004,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",DISENO Y ANALISIS DE ALGORITMOS,36
11320005,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",VARIABLE COMPLEJA,32
11320006,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",PROBABILIDAD Y ESTADISTICA 2,14
11320008,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",MATHEMATICAL MODELLING OF SYSTEMS IN NATURAL SCIENCES,36
11320024,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",DESARROLLO MOVIL,15
11320031,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",INTRODUCCION AL PROCESAMIENTO DEL LENGUAJE NATURAL,17
32510001,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FOUNDATION PROJECT,42
32510002,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",CONTABILIDAD Y MATEMATICAS FINANCIERAS,17
32510003,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",SISTEMAS DE PRODUCCION Y SERVICIOS,14
32510004,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",LOGISTICA,3
32510005,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FINANZAS,23
32510006,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",SIMULACION,2
32510007,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ESTRATEGIA Y TRANSFORMACION ORGANIZACIONAL,2
32510008,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",MODELOS MATEMATICOS APLICADOS EN CADENAS DE SUMINISTRO,1
32510009,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",CADENAS DE SUMINISTRO SOSTENIBLES,3
32610001,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FUNDAMENTOS DE CIRCUITOS,13
32610002,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FUNDAMENTOS DE ELECTRONICA ANALOGA,4
32610003,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",DISENO DE SISTEMAS DIGITALES,3
32610004,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",INSTRUMENTACION,3
32610007,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRONICOS,6
32710001,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ENERGIA Y MEDIO AMBIENTE,10
32710002,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ELEMENTOS DE SISTEMAS ELECTRICOS,8
32710003,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FUNDAMENTOS DE ENERGIAS RENOVABLES,2
32710004,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ECONOMIA DE SISTEMAS DE ENERGIA,5
32710005,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",MECANICA DE FLUIDOS,2
32710006,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",TERMODINAMICA,1
32710007,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ANALISIS DE SISTEMAS DE POTENCIA,2
32710008,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",CONTROL,3
32710009,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",TRANSFERENCIA DE CALOR,3
73210064,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FISICA 1,122
73210065,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FISICA 2,20
73210066,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,8
73210067,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FISICA 3,4
